worker_id,job_id,worker_experience_years,worker_completed_jobs,worker_success_rate,worker_rating,required_skill_count,matched_skill_count,skill_match_ratio,location_match,distance_km,job_complexity,job_budget,successful
177,4,8,36,0.813,4.2,2,0,0.0,0,38.37,5,12153.1,1
24,4,6,40,0.6238,4.33,2,0,0.0,0,45.82,5,12153.1,0
73,4,3,16,0.6979,4.29,2,0,0.0,1,4.86,5,12153.1,1
8,4,8,37,0.7644,4.24,2,0,0.0,0,22.09,5,12153.1,0
99,4,2,12,0.5454,3.7,2,1,0.5,0,34.94,5,12153.1,0
2,5,2,20,0.5759,3.7,1,0,0.0,0,49.53,4,1453.35,0
131,5,10,41,0.878,4.7,1,0,0.0,0,44.46,4,1453.35,1
170,5,11,13,0.7903,4.18,1,0,0.0,0,38.44,4,1453.35,0
96,5,1,13,0.6111,4.03,1,0,0.0,0,21.95,4,1453.35,1
144,5,9,54,0.6936,4.2,1,0,0.0,0,40.62,4,1453.35,0
166,5,9,58,0.7486,4.2,1,0,0.0,0,42.22,4,1453.35,0
153,5,15,110,0.8275,4.22,1,1,1.0,0,34.0,4,1453.35,1
156,5,10,31,0.8442,4.54,1,0,0.0,0,37.23,4,1453.35,0
73,5,3,16,0.6979,4.29,1,0,0.0,0,36.22,4,1453.35,0
77,5,10,45,0.8585,4.62,1,0,0.0,0,20.38,4,1453.35,1
176,5,3,25,0.6773,4.38,1,0,0.0,0,25.53,4,1453.35,1
28,5,0,1,0.6167,4.27,1,1,1.0,0,38.32,4,1453.35,1
124,5,8,42,0.6722,4.08,1,0,0.0,0,17.6,4,1453.35,0
17,5,11,31,0.8221,4.6,1,1,1.0,0,18.89,4,1453.35,1
87,5,2,9,0.5213,4.05,1,0,0.0,0,41.4,4,1453.35,0
172,6,4,28,0.5778,3.8,3,1,0.3333,0,42.33,1,12438.42,0
92,6,7,48,0.6518,3.98,3,0,0.0,0,17.32,1,12438.42,0
130,6,11,18,0.7967,4.2,3,1,0.3333,0,23.43,1,12438.42,1
77,6,10,45,0.8585,4.62,3,1,0.3333,0,24.21,1,12438.42,1
44,6,5,31,0.5795,4.13,3,1,0.3333,0,22.28,1,12438.42,0
169,6,12,94,0.8925,4.74,3,1,0.3333,0,23.25,1,12438.42,1
143,6,10,25,0.7739,4.57,3,0,0.0,1,3.29,1,12438.42,0
47,6,11,93,0.8167,4.53,3,0,0.0,0,28.82,1,12438.42,0
76,6,10,13,0.789,4.27,3,0,0.0,0,33.34,1,12438.42,0
25,6,3,6,0.6436,4.02,3,0,0.0,1,1.18,1,12438.42,0
121,6,10,63,0.7316,4.05,3,1,0.3333,0,30.02,1,12438.42,0
33,6,2,15,0.6183,4.1,3,0,0.0,0,25.27,1,12438.42,1
190,6,11,17,0.8808,4.43,3,2,0.6667,0,12.16,1,12438.42,1
67,6,1,6,0.5154,3.62,3,0,0.0,0,15.49,1,12438.42,1
186,6,2,13,0.5434,4.02,3,0,0.0,0,26.37,1,12438.42,0
118,7,8,8,0.7519,4.41,1,1,1.0,0,20.94,5,7024.63,1
37,7,9,22,0.844,4.25,1,0,0.0,1,2.1,5,7024.63,0
81,7,9,41,0.7165,4.37,1,0,0.0,0,29.58,5,7024.63,0
184,7,13,36,0.8696,4.27,1,0,0.0,0,13.52,5,7024.63,0
47,7,11,93,0.8167,4.53,1,0,0.0,0,35.34,5,7024.63,1
200,7,15,40,0.7721,4.55,1,0,0.0,0,48.61,5,7024.63,1
21,7,11,67,0.8869,4.52,1,1,1.0,0,11.51,5,7024.63,1
125,7,0,5,0.6092,4.08,1,0,0.0,0,24.92,5,7024.63,1
86,7,12,74,0.7633,4.4,1,0,0.0,0,22.89,5,7024.63,0
162,7,2,11,0.5831,3.72,1,0,0.0,0,17.62,5,7024.63,0
46,7,9,38,0.7151,4.33,1,0,0.0,0,35.07,5,7024.63,1
163,7,14,88,0.8498,4.65,1,1,1.0,0,37.74,5,7024.63,1
15,7,8,57,0.7654,4.09,1,0,0.0,0,15.16,5,7024.63,1
2,7,2,20,0.5759,3.7,1,0,0.0,0,33.55,5,7024.63,1
116,7,14,58,0.9278,4.5,1,0,0.0,0,42.95,5,7024.63,1
75,8,7,60,0.7932,4.25,2,0,0.0,0,16.6,2,3138.47,0
117,8,12,73,0.7692,4.26,2,0,0.0,0,42.48,2,3138.47,1
187,8,10,32,0.8495,4.59,2,1,0.5,0,18.97,2,3138.47,0
134,8,4,4,0.6145,4.23,2,1,0.5,1,2.51,2,3138.47,1
153,8,15,110,0.8275,4.22,2,1,0.5,0,30.19,2,3138.47,1
135,8,1,3,0.6085,4.06,2,0,0.0,0,38.44,2,3138.47,0
87,8,2,9,0.5213,4.05,2,1,0.5,1,4.06,2,3138.47,1
112,8,3,27,0.6391,4.32,2,0,0.0,0,40.85,2,3138.47,0
176,8,3,25,0.6773,4.38,2,1,0.5,0,33.76,2,3138.47,1
35,8,3,5,0.6218,4.07,2,0,0.0,0,14.32,2,3138.47,0
88,8,14,70,0.8035,4.45,2,0,0.0,0,11.93,2,3138.47,1
126,8,9,61,0.696,3.93,2,1,0.5,0,27.77,2,3138.47,1
92,8,7,48,0.6518,3.98,2,0,0.0,0,20.11,2,3138.47,0
193,8,10,47,0.7552,4.37,2,0,0.0,0,18.22,2,3138.47,0
49,8,3,15,0.6869,4.0,2,2,1.0,0,10.37,2,3138.47,1
26,9,10,23,0.7448,4.1,2,0,0.0,0,14.56,3,8012.48,1
170,9,11,13,0.7903,4.18,2,1,0.5,0,17.95,3,8012.48,1
134,9,4,4,0.6145,4.23,2,1,0.5,0,20.52,3,8012.48,1
70,9,9,22,0.7792,4.61,2,0,0.0,0,18.07,3,8012.48,0
160,9,15,74,0.8858,4.7,2,0,0.0,0,21.81,3,8012.48,1
156,9,10,31,0.8442,4.54,2,0,0.0,0,29.85,3,8012.48,1
180,9,9,69,0.8003,4.17,2,2,1.0,0,47.32,3,8012.48,1
36,9,9,29,0.7539,4.33,2,1,0.5,0,10.11,3,8012.48,1
108,9,15,105,0.9144,4.52,2,1,0.5,0,46.28,3,8012.48,1
27,9,8,37,0.695,4.45,2,1,0.5,0,36.76,3,8012.48,1
131,9,10,41,0.878,4.7,2,1,0.5,0,13.6,3,8012.48,1
185,9,0,4,0.6072,3.77,2,1,0.5,0,38.94,3,8012.48,1
159,9,4,19,0.5685,3.83,2,0,0.0,0,20.24,3,8012.48,1
31,9,1,1,0.5802,4.0,2,2,1.0,0,49.55,3,8012.48,1
73,9,3,16,0.6979,4.29,2,0,0.0,0,28.57,3,8012.48,1
45,10,3,15,0.682,4.39,1,0,0.0,0,35.89,2,14053.7,1
11,10,6,47,0.6899,4.42,1,1,1.0,0,45.78,2,14053.7,0
75,10,7,60,0.7932,4.25,1,0,0.0,0,20.73,2,14053.7,0
93,10,5,24,0.6821,4.37,1,0,0.0,0,24.9,2,14053.7,1
174,10,9,69,0.8377,4.27,1,0,0.0,0,14.55,2,14053.7,1
81,10,9,41,0.7165,4.37,1,0,0.0,1,4.84,2,14053.7,0
110,10,2,17,0.6407,3.96,1,1,1.0,0,37.6,2,14053.7,1
190,10,11,17,0.8808,4.43,1,0,0.0,0,26.87,2,14053.7,0
30,10,15,34,0.7842,4.19,1,0,0.0,0,16.67,2,14053.7,1
25,10,3,6,0.6436,4.02,1,0,0.0,0,39.06,2,14053.7,0
195,10,12,58,0.8424,4.62,1,1,1.0,0,43.77,2,14053.7,1
12,10,7,54,0.726,4.11,1,0,0.0,0,46.45,2,14053.7,1
3,10,6,51,0.717,4.27,1,0,0.0,0,32.76,2,14053.7,1
36,10,9,29,0.7539,4.33,1,0,0.0,0,34.45,2,14053.7,0
170,10,11,13,0.7903,4.18,1,0,0.0,0,34.45,2,14053.7,0
187,11,10,32,0.8495,4.59,2,0,0.0,0,30.99,5,4133.78,0
34,11,8,33,0.6736,4.25,2,0,0.0,0,38.95,5,4133.78,1
124,11,8,42,0.6722,4.08,2,0,0.0,0,48.23,5,4133.78,0
125,11,0,5,0.6092,4.08,2,0,0.0,0,30.76,5,4133.78,0
29,11,12,19,0.7796,4.05,2,1,0.5,0,34.73,5,4133.78,1
106,11,14,82,0.8372,4.36,2,1,0.5,0,39.07,5,4133.78,1
113,11,1,6,0.6183,3.94,2,1,0.5,0,36.55,5,4133.78,0
12,11,7,54,0.726,4.11,2,0,0.0,0,15.95,5,4133.78,0
17,11,11,31,0.8221,4.6,2,0,0.0,0,45.68,5,4133.78,0
67,11,1,6,0.5154,3.62,2,0,0.0,0,10.47,5,4133.78,0
168,11,2,20,0.6195,4.32,2,1,0.5,0,30.22,5,4133.78,1
81,11,9,41,0.7165,4.37,2,1,0.5,0,29.83,5,4133.78,1
4,11,5,32,0.6362,3.89,2,0,0.0,0,40.06,5,4133.78,0
181,11,8,21,0.8003,4.42,2,1,0.5,0,23.24,5,4133.78,1
174,11,9,69,0.8377,4.27,2,2,1.0,0,30.28,5,4133.78,1
97,12,2,17,0.5626,3.86,2,0,0.0,0,14.11,5,8235.43,0
104,12,7,36,0.7242,4.18,2,1,0.5,1,5.79,5,8235.43,1
61,12,13,65,0.8096,4.39,2,0,0.0,0,13.64,5,8235.43,0
21,12,11,67,0.8869,4.52,2,0,0.0,0,34.76,5,8235.43,1
118,12,8,8,0.7519,4.41,2,1,0.5,0,30.33,5,8235.43,1
114,12,5,15,0.6065,4.11,2,1,0.5,0,36.86,5,8235.43,0
147,12,4,29,0.5625,4.11,2,0,0.0,0,24.53,5,8235.43,1
115,12,7,36,0.7398,4.26,2,2,1.0,0,18.92,5,8235.43,1
23,12,7,11,0.788,4.58,2,1,0.5,0,32.41,5,8235.43,1
128,12,3,29,0.6131,4.0,2,0,0.0,0,28.93,5,8235.43,0
81,12,9,41,0.7165,4.37,2,0,0.0,0,38.64,5,8235.43,1
31,12,1,1,0.5802,4.0,2,0,0.0,0,40.37,5,8235.43,0
191,12,12,55,0.9253,4.61,2,1,0.5,0,23.65,5,8235.43,1
168,12,2,20,0.6195,4.32,2,2,1.0,0,48.58,5,8235.43,1
5,12,12,24,0.8146,4.32,2,0,0.0,0,30.88,5,8235.43,0
12,13,7,54,0.726,4.11,3,1,0.3333,1,2.55,5,10949.18,0
43,13,11,82,0.8841,4.49,3,1,0.3333,1,2.31,5,10949.18,1
127,13,7,41,0.6494,4.09,3,2,0.6667,0,40.29,5,10949.18,1
36,13,9,29,0.7539,4.33,3,1,0.3333,0,35.33,5,10949.18,1
184,13,13,36,0.8696,4.27,3,1,0.3333,0,14.93,5,10949.18,0
191,13,12,55,0.9253,4.61,3,1,0.3333,0,28.3,5,10949.18,1
185,13,0,4,0.6072,3.77,3,0,0.0,0,30.17,5,10949.18,0
105,13,13,56,0.9182,4.61,3,1,0.3333,0,10.17,5,10949.18,1
28,13,0,1,0.6167,4.27,3,1,0.3333,0,32.13,5,10949.18,0
66,13,10,58,0.7501,4.57,3,0,0.0,0,33.4,5,10949.18,0
157,13,3,10,0.6034,3.98,3,1,0.3333,0,41.24,5,10949.18,0
51,13,13,54,0.8224,4.31,3,1,0.3333,0,37.67,5,10949.18,1
49,13,3,15,0.6869,4.0,3,2,0.6667,0,42.61,5,10949.18,1
31,13,1,1,0.5802,4.0,3,1,0.3333,0,36.3,5,10949.18,0
101,13,4,22,0.6289,4.2,3,1,0.3333,0,22.87,5,10949.18,0
108,14,15,105,0.9144,4.52,2,1,0.5,0,45.46,5,1677.73,1
156,14,10,31,0.8442,4.54,2,0,0.0,0,43.72,5,1677.73,1
178,14,14,58,0.9175,4.55,2,0,0.0,0,22.56,5,1677.73,0
196,14,14,18,0.7727,4.18,2,1,0.5,0,32.14,5,1677.73,1
64,14,4,5,0.7132,4.29,2,0,0.0,1,2.49,5,1677.73,0
71,14,7,13,0.7505,4.18,2,1,0.5,0,37.46,5,1677.73,0
102,14,7,52,0.6535,4.16,2,1,0.5,0,15.31,5,1677.73,0
88,14,14,70,0.8035,4.45,2,2,1.0,0,49.01,5,1677.73,1
76,14,10,13,0.789,4.27,2,0,0.0,0,31.7,5,1677.73,0
116,14,14,58,0.9278,4.5,2,0,0.0,0,38.41,5,1677.73,0
35,14,3,5,0.6218,4.07,2,0,0.0,0,32.49,5,1677.73,0
36,14,9,29,0.7539,4.33,2,0,0.0,0,47.71,5,1677.73,0
106,14,14,82,0.8372,4.36,2,0,0.0,0,36.97,5,1677.73,0
155,14,2,12,0.6036,4.08,2,1,0.5,0,31.36,5,1677.73,0
180,14,9,69,0.8003,4.17,2,2,1.0,0,26.9,5,1677.73,1
28,15,0,1,0.6167,4.27,2,2,1.0,0,37.62,4,9765.37,1
7,15,1,11,0.516,3.75,2,1,0.5,0,40.14,4,9765.37,1
98,15,15,51,0.8693,4.45,2,0,0.0,0,42.56,4,9765.37,1
38,15,4,21,0.6007,3.86,2,0,0.0,0,44.72,4,9765.37,0
14,15,2,14,0.5687,4.27,2,0,0.0,0,44.59,4,9765.37,0
172,15,4,28,0.5778,3.8,2,0,0.0,1,5.83,4,9765.37,1
15,15,8,57,0.7654,4.09,2,0,0.0,0,41.37,4,9765.37,0
52,15,5,44,0.6774,4.11,2,2,1.0,0,21.51,4,9765.37,1
69,15,6,35,0.7259,4.42,2,0,0.0,0,47.06,4,9765.37,1
193,15,10,47,0.7552,4.37,2,0,0.0,0,48.27,4,9765.37,0
42,15,1,5,0.5406,4.18,2,1,0.5,0,22.51,4,9765.37,1
74,15,8,47,0.7955,4.4,2,1,0.5,0,10.52,4,9765.37,1
175,15,13,33,0.897,4.75,2,0,0.0,0,34.82,4,9765.37,0
65,15,4,33,0.5827,3.85,2,0,0.0,0,44.8,4,9765.37,0
16,15,8,40,0.7872,4.37,2,1,0.5,0,46.46,4,9765.37,1
166,16,9,58,0.7486,4.2,3,0,0.0,0,12.98,4,4050.73,0
95,16,10,42,0.7047,4.06,3,1,0.3333,0,39.4,4,4050.73,1
194,16,14,19,0.8808,4.78,3,1,0.3333,0,11.63,4,4050.73,1
151,16,15,82,0.8701,4.24,3,0,0.0,0,20.57,4,4050.73,1
140,16,7,33,0.686,4.16,3,0,0.0,0,43.84,4,4050.73,1
190,16,11,17,0.8808,4.43,3,1,0.3333,0,28.65,4,4050.73,0
155,16,2,12,0.6036,4.08,3,0,0.0,0,11.6,4,4050.73,0
51,16,13,54,0.8224,4.31,3,1,0.3333,0,33.88,4,4050.73,1
199,16,15,81,0.8197,4.46,3,1,0.3333,0,35.01,4,4050.73,0
186,16,2,13,0.5434,4.02,3,0,0.0,0,22.05,4,4050.73,0
50,16,13,21,0.9208,4.86,3,2,0.6667,0,32.01,4,4050.73,1
76,16,10,13,0.789,4.27,3,1,0.3333,1,7.22,4,4050.73,1
115,16,7,36,0.7398,4.26,3,2,0.6667,0,48.28,4,4050.73,1
46,16,9,38,0.7151,4.33,3,2,0.6667,0,41.45,4,4050.73,1
175,16,13,33,0.897,4.75,3,0,0.0,0,31.72,4,4050.73,1
90,17,2,7,0.5005,3.82,2,0,0.0,0,14.59,4,2792.17,0
57,17,7,61,0.6468,3.89,2,1,0.5,0,19.61,4,2792.17,1
55,17,0,1,0.5,3.84,2,0,0.0,0,46.74,4,2792.17,0
170,17,11,13,0.7903,4.18,2,1,0.5,0,11.6,4,2792.17,0
85,17,9,69,0.7612,4.22,2,2,1.0,1,4.12,4,2792.17,1
93,17,5,24,0.6821,4.37,2,2,1.0,0,14.53,4,2792.17,1
76,17,10,13,0.789,4.27,2,0,0.0,0,38.96,4,2792.17,1
56,17,12,43,0.7766,4.46,2,1,0.5,0,30.67,4,2792.17,1
193,17,10,47,0.7552,4.37,2,1,0.5,0,30.57,4,2792.17,1
159,17,4,19,0.5685,3.83,2,1,0.5,0,29.47,4,2792.17,1
136,17,7,46,0.6328,4.26,2,1,0.5,0,36.06,4,2792.17,1
122,17,5,21,0.7395,4.55,2,2,1.0,0,13.29,4,2792.17,1
144,17,9,54,0.6936,4.2,2,1,0.5,0,48.87,4,2792.17,1
167,17,2,12,0.517,3.99,2,0,0.0,0,31.33,4,2792.17,0
3,17,6,51,0.717,4.27,2,0,0.0,0,18.43,4,2792.17,0
55,18,0,1,0.5,3.84,2,1,0.5,0,28.37,3,9296.57,1
176,18,3,25,0.6773,4.38,2,0,0.0,0,13.5,3,9296.57,1
109,18,3,17,0.5429,4.17,2,0,0.0,0,41.77,3,9296.57,0
27,18,8,37,0.695,4.45,2,0,0.0,0,33.0,3,9296.57,1
53,18,10,69,0.7795,4.46,2,1,0.5,0,20.35,3,9296.57,1
138,18,4,8,0.5727,4.06,2,0,0.0,0,35.21,3,9296.57,0
180,18,9,69,0.8003,4.17,2,0,0.0,0,10.68,3,9296.57,0
190,18,11,17,0.8808,4.43,2,1,0.5,0,31.39,3,9296.57,1
199,18,15,81,0.8197,4.46,2,2,1.0,0,34.73,3,9296.57,1
112,18,3,27,0.6391,4.32,2,0,0.0,0,33.42,3,9296.57,0
166,18,9,58,0.7486,4.2,2,0,0.0,0,12.9,3,9296.57,0
19,18,2,4,0.6317,4.28,2,1,0.5,0,14.25,3,9296.57,0
192,18,13,23,0.8275,4.74,2,0,0.0,0,22.05,3,9296.57,1
40,18,4,20,0.5791,3.96,2,0,0.0,0,40.61,3,9296.57,0
7,18,1,11,0.516,3.75,2,0,0.0,0,25.8,3,9296.57,0
122,19,5,21,0.7395,4.55,3,1,0.3333,0,24.93,5,11529.64,0
41,19,2,6,0.5982,4.23,3,1,0.3333,0,32.14,5,11529.64,0
137,19,15,123,0.8223,4.54,3,2,0.6667,0,14.93,5,11529.64,1
57,19,7,61,0.6468,3.89,3,1,0.3333,0,33.87,5,11529.64,1
35,19,3,5,0.6218,4.07,3,1,0.3333,1,9.5,5,11529.64,1
192,19,13,23,0.8275,4.74,3,1,0.3333,1,7.61,5,11529.64,0
101,19,4,22,0.6289,4.2,3,1,0.3333,0,23.75,5,11529.64,1
140,19,7,33,0.686,4.16,3,1,0.3333,0,35.84,5,11529.64,1
76,19,10,13,0.789,4.27,3,1,0.3333,0,16.44,5,11529.64,1
163,19,14,88,0.8498,4.65,3,2,0.6667,0,43.39,5,11529.64,1
37,19,9,22,0.844,4.25,3,0,0.0,0,17.25,5,11529.64,0
77,19,10,45,0.8585,4.62,3,0,0.0,0,44.09,5,11529.64,0
174,19,9,69,0.8377,4.27,3,1,0.3333,0,47.29,5,11529.64,0
187,19,10,32,0.8495,4.59,3,0,0.0,0,28.45,5,11529.64,1
166,19,9,58,0.7486,4.2,3,1,0.3333,0,21.63,5,11529.64,1
26,20,10,23,0.7448,4.1,3,0,0.0,1,3.52,4,2276.57,1
51,20,13,54,0.8224,4.31,3,0,0.0,0,34.65,4,2276.57,1
186,20,2,13,0.5434,4.02,3,1,0.3333,0,33.37,4,2276.57,0
149,20,4,14,0.6858,3.91,3,0,0.0,0,24.58,4,2276.57,1
125,20,0,5,0.6092,4.08,3,1,0.3333,0,27.13,4,2276.57,1
85,20,9,69,0.7612,4.22,3,1,0.3333,0,19.85,4,2276.57,1
92,20,7,48,0.6518,3.98,3,0,0.0,0,39.59,4,2276.57,0
33,20,2,15,0.6183,4.1,3,2,0.6667,0,43.6,4,2276.57,1
172,20,4,28,0.5778,3.8,3,0,0.0,0,39.32,4,2276.57,0
168,20,2,20,0.6195,4.32,3,1,0.3333,0,28.51,4,2276.57,1
61,20,13,65,0.8096,4.39,3,0,0.0,0,22.22,4,2276.57,1
73,20,3,16,0.6979,4.29,3,0,0.0,1,2.17,4,2276.57,0
159,20,4,19,0.5685,3.83,3,1,0.3333,0,43.67,4,2276.57,0
18,20,10,72,0.7035,4.47,3,1,0.3333,0,15.6,4,2276.57,1
50,20,13,21,0.9208,4.86,3,1,0.3333,0,20.53,4,2276.57,0
20,21,5,21,0.67,4.22,1,0,0.0,0,45.76,4,1233.78,0
187,21,10,32,0.8495,4.59,1,1,1.0,0,36.16,4,1233.78,1
5,21,12,24,0.8146,4.32,1,0,0.0,0,25.7,4,1233.78,0
130,21,11,18,0.7967,4.2,1,0,0.0,1,6.1,4,1233.78,0
162,21,2,11,0.5831,3.72,1,0,0.0,0,15.36,4,1233.78,0
8,21,8,37,0.7644,4.24,1,0,0.0,0,13.62,4,1233.78,1
149,21,4,14,0.6858,3.91,1,0,0.0,1,0.6,4,1233.78,1
104,21,7,36,0.7242,4.18,1,0,0.0,0,48.56,4,1233.78,0
197,21,14,61,0.817,4.58,1,0,0.0,0,37.37,4,1233.78,0
152,21,6,25,0.7702,4.5,1,0,0.0,0,15.61,4,1233.78,1
55,21,0,1,0.5,3.84,1,0,0.0,1,5.88,4,1233.78,0
10,21,1,4,0.6229,4.25,1,0,0.0,0,44.89,4,1233.78,1
142,21,13,25,0.884,4.46,1,0,0.0,0,39.28,4,1233.78,0
67,21,1,6,0.5154,3.62,1,0,0.0,0,11.62,4,1233.78,0
140,21,7,33,0.686,4.16,1,0,0.0,0,19.27,4,1233.78,1
60,22,10,79,0.7145,4.03,3,1,0.3333,0,35.34,3,14039.4,1
11,22,6,47,0.6899,4.42,3,1,0.3333,0,39.68,3,14039.4,1
172,22,4,28,0.5778,3.8,3,0,0.0,0,32.81,3,14039.4,0
53,22,10,69,0.7795,4.46,3,1,0.3333,0,25.14,3,14039.4,1
133,22,8,62,0.8271,4.73,3,1,0.3333,0,45.93,3,14039.4,1
93,22,5,24,0.6821,4.37,3,0,0.0,0,20.06,3,14039.4,0
100,22,14,66,0.7598,4.33,3,2,0.6667,0,18.92,3,14039.4,1
121,22,10,63,0.7316,4.05,3,0,0.0,0,42.69,3,14039.4,1
117,22,12,73,0.7692,4.26,3,1,0.3333,1,8.03,3,14039.4,1
12,22,7,54,0.726,4.11,3,1,0.3333,0,10.26,3,14039.4,0
167,22,2,12,0.517,3.99,3,1,0.3333,0,27.6,3,14039.4,1
83,22,7,30,0.6573,3.84,3,0,0.0,0,30.58,3,14039.4,1
27,22,8,37,0.695,4.45,3,0,0.0,0,16.01,3,14039.4,1
181,22,8,21,0.8003,4.42,3,2,0.6667,0,34.08,3,14039.4,1
134,22,4,4,0.6145,4.23,3,1,0.3333,0,36.44,3,14039.4,1
85,23,9,69,0.7612,4.22,1,0,0.0,0,32.94,4,14941.56,1
185,23,0,4,0.6072,3.77,1,0,0.0,0,35.18,4,14941.56,1
30,23,15,34,0.7842,4.19,1,0,0.0,0,32.89,4,14941.56,1
124,23,8,42,0.6722,4.08,1,0,0.0,0,20.33,4,14941.56,1
173,23,13,59,0.8717,4.36,1,0,0.0,1,9.6,4,14941.56,1
123,23,4,18,0.7048,4.35,1,0,0.0,0,32.54,4,14941.56,1
54,23,10,21,0.8473,4.63,1,1,1.0,0,38.78,4,14941.56,1
152,23,6,25,0.7702,4.5,1,0,0.0,0,21.34,4,14941.56,1
42,23,1,5,0.5406,4.18,1,0,0.0,0,27.97,4,14941.56,0
166,23,9,58,0.7486,4.2,1,0,0.0,0,44.69,4,14941.56,1
106,23,14,82,0.8372,4.36,1,0,0.0,0,43.21,4,14941.56,1
6,23,3,15,0.5392,3.8,1,0,0.0,0,41.78,4,14941.56,0
63,23,15,43,0.7991,4.38,1,1,1.0,0,17.28,4,14941.56,1
12,23,7,54,0.726,4.11,1,0,0.0,0,20.58,4,14941.56,0
33,23,2,15,0.6183,4.1,1,0,0.0,0,23.71,4,14941.56,0
